user_id,ad_id,clicked
u14,124,1
u35,107,0
u71,146,1
u71,30,1
u80,147,1
u49,91,0
u47,4,1
u78,124,0
u10,144,0
u11,29,1
u60,28,0
u44,141,1
u4,143,1
u65,61,0
u5,107,1
u75,51,1
u9,80,0
u44,22,1
u44,87,1
u31,134,1
u59,75,1
u30,3,1
u9,31,1
u53,13,1
u64,68,0
u41,116,1
u66,27,0
u49,22,0
u22,45,1
u45,10,1
u23,75,1
u6,51,1
u74,43,1
u74,95,1
u62,6,1
u61,56,0
u47,32,1
u47,6,0
u73,34,1
u41,101,1
u74,18,0
u73,12,1
u43,143,0
u46,110,1
u55,81,0
u29,75,1
u23,130,1
u67,90,0
u45,108,1
u43,48,0
u33,127,1
u65,37,1
u10,120,0
u12,58,1
u5,94,1
u69,86,1
u50,133,0
u28,147,1
u4,18,0
u73,129,0
u4,69,0
u77,75,1
u63,141,0
u73,55,1
u14,104,1
u9,107,1
u47,24,1
u23,30,0
u50,115,1
u7,76,1
u74,140,1
u29,148,1
u2,69,1
u31,115,1
u73,93,1
u15,24,1
u63,98,1
u69,54,0
u54,128,1
u26,88,1
u23,57,1
u42,49,1
u2,6,1
u17,89,0
u6,8,0
u27,81,1
u4,76,0
u3,95,0
u18,30,1
u30,149,1
u71,12,1
u46,108,1
u39,23,0
u67,70,1
u67,147,1
u17,84,0
u20,32,1
u43,99,0
u68,31,1
u11,104,1
u77,18,0
u69,1,0
u53,99,0
u79,30,1
u24,127,1
u4,119,1
u14,80,1
u21,86,1
u55,28,1
u32,130,0
u70,45,0
u76,134,1
u6,127,1
u67,96,0
u27,43,0
u28,7,1
u44,65,1
u4,83,1
u4,3,1
u12,122,0
u42,25,0
u71,123,0
u73,48,0
u70,57,1
u65,133,1
u3,76,1
u21,111,1
u80,107,1
u62,33,1
u46,34,1
u68,138,0
u76,109,1
u2,110,1
u49,120,1
u57,89,1
u28,143,1
u1,144,0
u1,110,0
u13,96,1
u57,12,1
u15,98,1
u18,108,1
u69,80,1
u21,107,1
u16,44,0
u7,14,1
u65,85,1
u74,108,0
u32,34,1
u37,98,0
u50,120,1
u34,69,0
u50,123,1
u23,45,0
u5,94,1
u5,50,0
u59,79,1
u59,141,1
u47,120,1
u56,130,1
u16,121,0
u10,91,0
u78,8,0
u4,79,1
u61,104,1
u39,128,1
u17,144,0
u63,15,0
u66,141,1
u78,79,1
u47,123,1
u16,116,1
u8,9,1
u76,68,1
u11,71,1
u54,29,1
u69,18,1
u71,91,1
u6,150,1
u16,78,0
u49,98,1
u29,35,1
u20,65,1
u56,20,1
u16,73,0
u1,132,0
u47,98,1
u33,119,1
u41,69,0
u27,125,1
u61,14,0
u18,96,1
u39,53,1
u39,55,0
u70,5,0
u12,62,1
u29,98,1
u23,139,1
u18,9,1
u29,23,0
u2,110,1
u12,49,1
u34,145,1
u15,38,0
u41,130,1
u22,68,0
u38,34,1
u58,67,1
u46,103,1
u31,34,1
u70,126,0
u47,45,0
u60,96,1
u10,10,1
u42,24,1
u30,53,1
u40,77,0
u61,33,1
u23,66,1
u71,108,1
u41,39,1
u55,32,1
u72,104,1
u23,42,0
u4,90,1
u42,129,1
u73,108,1
u77,17,1
u52,13,1
u21,62,0
u1,123,1
u60,107,1
u38,12,1
u20,18,0
u74,4,1
u39,3,1
u34,55,1
u54,37,1
u16,37,1
u74,1,0
u16,18,0
u72,149,1
u66,11,1
u80,52,1
u29,75,1
u60,45,0
u21,60,1
u13,113,1
u77,150,1
u50,50,1
u49,130,1
u10,121,0
u51,6,1
u45,15,0
u43,133,1
u17,128,1
u16,41,1
u7,61,1
u14,98,1
u46,117,1
u45,98,1
u61,73,0
u25,144,1
u8,113,0
u41,111,1
u76,115,1
u7,89,0
u59,69,1
u21,82,1
u15,24,0
u3,143,0
u27,68,1
u40,62,1
u40,66,1
u60,31,1
u67,107,1
u14,4,1
u10,32,1
u31,125,1
u48,14,1
u43,139,1
u53,46,0
u35,73,0
u46,34,1
u34,53,1
u16,85,1
u66,18,1
u39,8,0
u79,74,1
u59,77,1
u10,129,1
u57,117,1
u20,35,1
u48,143,1
u3,99,0
u51,73,1
u36,17,1
u17,89,1
u68,105,1
u62,75,1
u34,20,0
u23,140,1
u36,70,1
u1,46,1
u78,108,1
u64,2,1
u70,116,1
u8,86,1
u69,65,1
u72,53,1
u7,99,1
u67,149,1
u37,128,1
u74,127,1
u48,35,1
u53,104,1
u57,64,1
u36,118,1
u54,118,0
u41,117,1
u22,123,0
u43,92,0
u61,132,0
u5,32,0
u33,139,0
u12,113,1
u4,56,1
u75,139,1
u47,65,0
u61,3,1
u67,127,1
u31,126,1
u9,145,1
u47,75,1
u48,68,1
u45,1,1
u56,120,1
u16,133,1
u67,47,1
u48,62,0
u14,22,1
u43,70,1
u1,80,1
u31,90,1
u72,22,1
u26,111,1
u1,41,1
u16,85,1
u44,2,1
u10,19,0
u60,3,1
u28,78,1
u64,125,1
u59,100,1
u24,75,1
u55,83,1
u5,137,1
u27,64,1
u26,46,0
u14,45,1
u17,48,1
