user_id,past_categories_bought,avg_budget
u1,"books,sunglasses",3316
u2,smartwatches,33513
u3,"laptops,sunglasses,books",41619
u4,headphones,6196
u5,backpacks,5237
u6,"smartwatches,laptops",58931
u7,"laptops,headphones",54249
u8,"yoga_mats,sunglasses,books",4364
u9,"backpacks,books",2419
u10,cookware,3917
u11,"coffee,running_shoes,smartwatches",6551
u12,"yoga_mats,smartwatches",13146
u13,"backpacks,running_shoes,smartwatches",13188
u14,"sunglasses,cookware",3452
u15,cookware,6249
u16,"sunglasses,books",2496
u17,coffee,889
u18,running_shoes,6288
u19,smartwatches,27496
u20,"backpacks,yoga_mats",3039
u21,"books,backpacks,yoga_mats",1857
u22,"sunglasses,running_shoes,headphones",9328
u23,"sunglasses,cookware,laptops",52007
u24,"books,sunglasses,cookware",2834
u25,"laptops,coffee",60712
u26,books,563
u27,"sunglasses,headphones,laptops",31878
u28,"yoga_mats,sunglasses",4440
u29,"cookware,running_shoes",6294
u30,"headphones,coffee",6803
u31,headphones,19404
u32,yoga_mats,2580
u33,backpacks,1791
u34,"books,coffee",847
u35,laptops,124405
u36,"yoga_mats,headphones,backpacks",6453
u37,"sunglasses,cookware,coffee",4183
u38,"running_shoes,yoga_mats",4780
u39,coffee,1324
u40,"headphones,sunglasses,yoga_mats",8460
u41,"cookware,books,running_shoes",1457
u42,"coffee,cookware,yoga_mats",2177
u43,"books,cookware,yoga_mats",3372
u44,"running_shoes,yoga_mats,backpacks",5483
u45,"smartwatches,running_shoes",11914
u46,"running_shoes,headphones,smartwatches",17416
u47,"cookware,sunglasses",5952
u48,yoga_mats,2856
u49,cookware,1938
u50,"laptops,headphones",50641
u51,"smartwatches,cookware",15543
u52,yoga_mats,2746
u53,"headphones,coffee",6504
u54,"smartwatches,books",10840
u55,"headphones,cookware",8357
u56,"cookware,backpacks,laptops",39216
u57,"laptops,coffee,running_shoes",42035
u58,"books,smartwatches",9027
u59,"smartwatches,headphones,cookware",11685
u60,backpacks,5455
u61,coffee,995
u62,"smartwatches,books",11010
u63,"yoga_mats,smartwatches",11564
u64,"headphones,backpacks",8290
u65,"laptops,books",77450
u66,"sunglasses,headphones",9559
u67,"coffee,sunglasses,backpacks",2779
u68,"running_shoes,backpacks",5518
u69,"sunglasses,running_shoes,yoga_mats",5529
u70,"sunglasses,headphones",4381
u71,"running_shoes,laptops,cookware",55215
u72,"coffee,headphones,yoga_mats",626
u73,"cookware,running_shoes",5680
u74,"coffee,sunglasses",2060
u75,"yoga_mats,laptops,cookware",47138
u76,"cookware,backpacks,headphones",8821
u77,"smartwatches,cookware,sunglasses",15828
u78,"smartwatches,headphones",15762
u79,running_shoes,5976
u80,backpacks,5069
